index,true_age_bin,true_gender,true_race,deepface_age,deepface_gender,gender_confidence
0,3-9,Male,East Asian,28,Man,"{'Woman': np.float32(13.024516), 'Man': np.float32(86.97549)}"
7,3-9,Male,East Asian,25,Man,"{'Woman': np.float32(0.4258269), 'Man': np.float32(99.57417)}"
9,3-9,Male,Southeast Asian,37,Man,"{'Woman': np.float32(19.27607), 'Man': np.float32(80.72393)}"
10,more than 70,Female,East Asian,42,Man,"{'Woman': np.float32(17.515738), 'Man': np.float32(82.48426)}"
23,10-19,Female,East Asian,25,Man,"{'Woman': np.float32(1.0678494), 'Man': np.float32(98.932144)}"
28,3-9,Female,East Asian,24,Man,"{'Woman': np.float32(16.492807), 'Man': np.float32(83.507195)}"
30,3-9,Female,Indian,44,Woman,"{'Woman': np.float32(70.66449), 'Man': np.float32(29.33551)}"
33,3-9,Male,East Asian,23,Man,"{'Woman': np.float32(0.26289597), 'Man': np.float32(99.73711)}"
40,3-9,Male,East Asian,21,Man,"{'Woman': np.float32(2.3720558), 'Man': np.float32(97.627945)}"
44,0-2,Male,White,34,Woman,"{'Woman': np.float32(85.548225), 'Man': np.float32(14.451781)}"
51,3-9,Male,Middle Eastern,20,Woman,"{'Woman': np.float32(74.60588), 'Man': np.float32(25.394115)}"
57,3-9,Male,Black,36,Man,"{'Woman': np.float32(5.1336126), 'Man': np.float32(94.86639)}"
59,10-19,Female,Southeast Asian,40,Woman,"{'Woman': np.float32(97.76913), 'Man': np.float32(2.230865)}"
61,3-9,Male,Southeast Asian,25,Man,"{'Woman': np.float32(16.347076), 'Man': np.float32(83.65292)}"
62,3-9,Female,White,29,Man,"{'Woman': np.float32(1.51115), 'Man': np.float32(98.48885)}"
63,10-19,Male,East Asian,25,Man,"{'Woman': np.float32(4.1159515), 'Man': np.float32(95.88405)}"
67,3-9,Female,White,41,Man,"{'Woman': np.float32(14.890345), 'Man': np.float32(85.10965)}"
70,more than 70,Male,Middle Eastern,47,Man,"{'Woman': np.float32(0.0028964921), 'Man': np.float32(99.9971)}"
78,3-9,Female,Middle Eastern,37,Woman,"{'Woman': np.float32(52.041332), 'Man': np.float32(47.958664)}"
81,10-19,Male,East Asian,32,Man,"{'Woman': np.float32(24.778957), 'Man': np.float32(75.22105)}"
84,3-9,Female,White,31,Woman,"{'Woman': np.float32(94.48545), 'Man': np.float32(5.5145545)}"
85,10-19,Male,Black,30,Man,"{'Woman': np.float32(3.1308029), 'Man': np.float32(96.869194)}"
90,10-19,Female,Indian,32,Woman,"{'Woman': np.float32(60.12671), 'Man': np.float32(39.873295)}"
91,10-19,Male,White,37,Man,"{'Woman': np.float32(1.3411909), 'Man': np.float32(98.658806)}"
102,3-9,Male,Southeast Asian,25,Man,"{'Woman': np.float32(0.12119198), 'Man': np.float32(99.87881)}"
103,10-19,Male,Indian,31,Woman,"{'Woman': np.float32(51.323723), 'Man': np.float32(48.676277)}"
107,10-19,Female,Black,33,Man,"{'Woman': np.float32(36.274426), 'Man': np.float32(63.725574)}"
108,3-9,Male,Indian,26,Man,"{'Woman': np.float32(3.6527877), 'Man': np.float32(96.34721)}"
112,3-9,Male,Black,36,Man,"{'Woman': np.float32(4.8006263), 'Man': np.float32(95.19938)}"
114,10-19,Male,Middle Eastern,24,Man,"{'Woman': np.float32(24.602911), 'Man': np.float32(75.397095)}"
115,10-19,Female,White,20,Man,"{'Woman': np.float32(17.832031), 'Man': np.float32(82.16797)}"
