index,age_bin,gender,race
0,3-9,Male,East Asian
7,3-9,Male,East Asian
9,3-9,Male,Southeast Asian
10,more than 70,Female,East Asian
23,10-19,Female,East Asian
28,3-9,Female,East Asian
30,3-9,Female,Indian
33,3-9,Male,East Asian
40,3-9,Male,East Asian
44,0-2,Male,White
51,3-9,Male,Middle Eastern
57,3-9,Male,Black
59,10-19,Female,Southeast Asian
61,3-9,Male,Southeast Asian
62,3-9,Female,White
63,10-19,Male,East Asian
67,3-9,Female,White
70,more than 70,Male,Middle Eastern
78,3-9,Female,Middle Eastern
81,10-19,Male,East Asian
84,3-9,Female,White
85,10-19,Male,Black
90,10-19,Female,Indian
91,10-19,Male,White
102,3-9,Male,Southeast Asian
103,10-19,Male,Indian
107,10-19,Female,Black
108,3-9,Male,Indian
112,3-9,Male,Black
114,10-19,Male,Middle Eastern
115,10-19,Female,White
116,3-9,Male,Indian
123,3-9,Male,Indian
124,3-9,Female,Black
130,10-19,Female,Southeast Asian
139,3-9,Male,Southeast Asian
144,3-9,Female,Black
145,10-19,Male,Black
151,0-2,Male,Black
152,3-9,Female,Latino_Hispanic
154,10-19,Female,Black
163,0-2,Male,Middle Eastern
164,3-9,Male,Black
165,10-19,Male,Black
166,10-19,Female,Black
172,more than 70,Male,White
173,10-19,Male,White
174,10-19,Female,Middle Eastern
175,10-19,Female,White
176,10-19,Male,Latino_Hispanic
179,3-9,Male,Southeast Asian
180,10-19,Female,Latino_Hispanic
181,3-9,Male,Indian
183,3-9,Female,Black
184,10-19,Male,Indian
186,3-9,Male,Indian
187,3-9,Female,Black
188,3-9,Male,Indian
191,3-9,Male,East Asian
193,3-9,Male,Middle Eastern
195,3-9,Female,Middle Eastern
197,10-19,Female,Black
199,10-19,Female,White
204,10-19,Female,East Asian
214,3-9,Female,Latino_Hispanic
215,10-19,Female,East Asian
216,3-9,Female,Black
218,10-19,Female,East Asian
222,10-19,Female,White
223,3-9,Male,Black
224,0-2,Male,Southeast Asian
225,3-9,Male,East Asian
228,3-9,Female,Latino_Hispanic
230,3-9,Male,Black
233,0-2,Male,East Asian
236,3-9,Male,East Asian
237,10-19,Female,East Asian
239,3-9,Male,Indian
251,3-9,Female,Black
255,0-2,Male,Southeast Asian
257,0-2,Female,Indian
262,0-2,Male,East Asian
266,3-9,Female,East Asian
267,3-9,Male,Latino_Hispanic
273,10-19,Male,Indian
276,10-19,Female,Latino_Hispanic
277,3-9,Female,Indian
293,more than 70,Male,East Asian
298,more than 70,Male,East Asian
303,10-19,Male,Southeast Asian
311,3-9,Male,Latino_Hispanic
313,3-9,Male,East Asian
315,3-9,Male,Black
317,10-19,Female,Indian
319,3-9,Male,Black
323,3-9,Male,Southeast Asian
324,3-9,Female,Latino_Hispanic
328,10-19,Female,Southeast Asian
329,3-9,Female,Black
330,3-9,Female,White
333,0-2,Female,White
342,10-19,Female,Black
345,10-19,Male,East Asian
347,3-9,Female,Latino_Hispanic
349,0-2,Male,East Asian
350,3-9,Female,White
351,3-9,Female,Indian
353,3-9,Male,Black
359,3-9,Female,East Asian
362,0-2,Female,Southeast Asian
366,10-19,Female,East Asian
367,10-19,Female,Southeast Asian
368,3-9,Female,Southeast Asian
370,3-9,Male,Latino_Hispanic
373,10-19,Female,Middle Eastern
374,3-9,Female,Indian
381,10-19,Male,Black
384,10-19,Female,Southeast Asian
387,10-19,Male,White
389,0-2,Male,Middle Eastern
392,10-19,Male,Southeast Asian
395,3-9,Female,Indian
396,3-9,Female,White
398,3-9,Male,East Asian
399,0-2,Male,East Asian
401,3-9,Female,White
403,3-9,Male,Black
405,10-19,Male,Indian
406,3-9,Male,Southeast Asian
412,10-19,Female,Indian
413,more than 70,Female,White
416,10-19,Female,East Asian
417,10-19,Female,White
420,3-9,Female,Latino_Hispanic
421,10-19,Male,Latino_Hispanic
423,3-9,Female,Indian
424,3-9,Female,Latino_Hispanic
427,3-9,Male,Black
435,10-19,Female,White
447,10-19,Female,White
451,10-19,Female,Latino_Hispanic
452,10-19,Female,Indian
455,0-2,Female,Black
460,10-19,Male,Southeast Asian
461,3-9,Female,Latino_Hispanic
470,10-19,Female,Latino_Hispanic
471,10-19,Female,Black
475,3-9,Female,Black
476,3-9,Male,White
477,10-19,Male,East Asian
478,3-9,Female,Southeast Asian
482,more than 70,Female,Black
484,0-2,Male,Indian
488,3-9,Male,Black
489,3-9,Male,East Asian
490,10-19,Female,Black
494,10-19,Male,Southeast Asian
496,10-19,Female,Middle Eastern
499,3-9,Male,Black
500,0-2,Male,White
506,3-9,Female,Latino_Hispanic
507,3-9,Male,Black
512,0-2,Male,East Asian
513,3-9,Male,Black
520,3-9,Male,Latino_Hispanic
523,3-9,Male,East Asian
524,3-9,Male,East Asian
526,3-9,Male,Black
533,3-9,Male,East Asian
543,0-2,Male,Middle Eastern
546,3-9,Male,Middle Eastern
548,3-9,Female,Indian
551,10-19,Male,Middle Eastern
560,3-9,Male,Black
563,10-19,Female,Black
566,10-19,Male,East Asian
568,10-19,Male,Indian
571,3-9,Female,East Asian
572,10-19,Male,Latino_Hispanic
575,10-19,Male,Southeast Asian
582,10-19,Male,Indian
586,3-9,Male,Latino_Hispanic
594,more than 70,Male,Black
596,0-2,Female,East Asian
602,10-19,Male,Middle Eastern
604,3-9,Male,White
605,10-19,Male,Black
609,3-9,Female,Southeast Asian
613,3-9,Female,Black
617,more than 70,Male,East Asian
632,3-9,Male,Black
633,0-2,Female,White
638,10-19,Female,Middle Eastern
641,3-9,Male,Southeast Asian
642,3-9,Female,Black
643,10-19,Male,White
659,10-19,Female,White
661,3-9,Female,White
663,10-19,Female,Black
665,10-19,Male,Black
666,more than 70,Male,Middle Eastern
670,3-9,Female,Southeast Asian
674,3-9,Male,Latino_Hispanic
676,10-19,Female,East Asian
677,10-19,Female,Black
