index,true_age_bin,true_gender,true_race,yu4u_age,yu4u_gender
0,3-9,Male,East Asian,28.000007665138423,Female
7,3-9,Male,East Asian,42.33396017367228,Male
9,3-9,Male,Southeast Asian,46.60309130039601,Male
10,more than 70,Female,East Asian,47.99641395507736,Male
23,10-19,Female,East Asian,40.47896983107184,Female
28,3-9,Female,East Asian,28.000071942548335,Female
30,3-9,Female,Indian,42.80922929172645,Male
33,3-9,Male,East Asian,48.0421813891269,Female
40,3-9,Male,East Asian,51.383986901013486,Female
44,0-2,Male,White,47.85528866644486,Female
51,3-9,Male,Middle Eastern,49.62666033569681,Female
57,3-9,Male,Black,48.00212757684137,Female
59,10-19,Female,Southeast Asian,37.3967491351155,Female
61,3-9,Male,Southeast Asian,48.00000508815786,Female
62,3-9,Female,White,29.021726565206734,Male
63,10-19,Male,East Asian,47.888431742454856,Female
67,3-9,Female,White,48.370928295493314,Female
70,more than 70,Male,Middle Eastern,43.87929687450837,Female
78,3-9,Female,Middle Eastern,28.00001931511178,Female
81,10-19,Male,East Asian,31.69637294441554,Female
84,3-9,Female,White,32.62461890282063,Female
85,10-19,Male,Black,47.7274323217547,Female
90,10-19,Female,Indian,21.147731414050668,Female
91,10-19,Male,White,35.78072651969433,Female
102,3-9,Male,Southeast Asian,9.39824263526523,Female
103,10-19,Male,Indian,36.208110784667525,Female
107,10-19,Female,Black,50.85367053611033,Female
108,3-9,Male,Indian,50.99998883082059,Female
112,3-9,Male,Black,36.28180276431452,Male
114,10-19,Male,Middle Eastern,25.54806572499272,Female
115,10-19,Female,White,48.30791361903276,Female
116,3-9,Male,Indian,45.107990117354916,Female
123,3-9,Male,Indian,49.2864850123518,Female
124,3-9,Female,Black,55.37707351655135,Female
130,10-19,Female,Southeast Asian,46.272761417619606,Male
139,3-9,Male,Southeast Asian,35.441462597046524,Male
144,3-9,Female,Black,46.76282684573296,Female
145,10-19,Male,Black,45.29833784480806,Male
151,0-2,Male,Black,46.637198849890005,Male
152,3-9,Female,Latino_Hispanic,51.76308195349162,Male
154,10-19,Female,Black,43.52890754841284,Female
163,0-2,Male,Middle Eastern,49.22596517007291,Male
164,3-9,Male,Black,40.88174571013312,Male
165,10-19,Male,Black,51.540266747676895,Male
166,10-19,Female,Black,53.859903028534674,Female
172,more than 70,Male,White,40.16103876066825,Male
173,10-19,Male,White,51.95702499327893,Male
174,10-19,Female,Middle Eastern,45.4821785023667,Female
175,10-19,Female,White,50.092473819384274,Female
176,10-19,Male,Latino_Hispanic,47.699251433627374,Male
179,3-9,Male,Southeast Asian,51.083898754925876,Female
180,10-19,Female,Latino_Hispanic,48.527354295167484,Female
181,3-9,Male,Indian,45.00000270321963,Female
183,3-9,Female,Black,50.831945475492574,Female
184,10-19,Male,Indian,46.55844635925865,Male
186,3-9,Male,Indian,48.00000142159431,Female
187,3-9,Female,Black,39.43188491750065,Female
188,3-9,Male,Indian,34.956521202221666,Female
191,3-9,Male,East Asian,38.08463486367118,Male
